"ESTILO","DOBLILLADOR","PESPUNTADOR","PRELIMINAR","LINEA"
1,56,443,1097,1
2,44,150,1027,4
3,96,285,767,6
4,32,193,876,4
5,0,458,1834,3
6,32,64,442,2
7,60,175,925,6
8,54,371,1396,1
9,0,537,679,3
10,0,336,1141,4
11,162,295,1011,5
12,0,366,1323,3
13,0,126,528,2
14,32,64,442,2
15,32,64,442,2
16,32,114,438,2
17,30,229,958,4
18,90,202,890,6
19,66,278,1224,1
20,77,147,549,6
21,66,234,833,6
22,36,222,814,4
23,119,200,1025,6
24,32,307,1012,4
25,0,126,528,2
26,97,182,908,6
27,0,77,456,2
28,32,64,442,2
29,107,188,659,6
30,66,185,875,6
31,66,211,752,6
32,0,198,506,2
33,90,105,893,6
34,36,222,814,4
35,32,128,474,2
36,43,161,800,4
37,30,134,930,4
38,69,178,722,6
39,106,169,823,6
40,53,130,598,2
41,54,262,1166,1
42,113,166,674,6
43,72,90,559,6
44,54,422,1046,1
45,90,113,721,6
46,72,171,564,6
47,0,283,769,4
48,39,180,263,2
49,90,297,1106,1
50,88,473,734,1
51,46,90,482,2
52,91,189,799,6
53,32,96,442,2
54,72,251,702,6
55,0,242,867,4
56,0,341,1286,3
57,0,540,951,3
58,0,262,969,4
59,0,303,684,4
60,87,359,962,1
61,0,882,1621,3
62,0,306,841,4
63,0,256,1010,4
64,0,136,671,2
65,57,268,899,4
66,107,464,1310,1
67,72,318,1023,1
68,0,466,552,4
69,182,397,946,5
70,0,668,746,3
71,45,306,625,4
72,79,317,624,6
73,54,430,921,1
74,112,233,552,6
75,96,447,1112,1
76,99,175,763,6
77,0,169,378,2
78,32,64,442,2
79,32,82,464,2
80,45,72,568,2
81,98,165,858,6
82,107,317,1427,1
83,32,64,416,2
84,144,325,948,5
85,46,169,722,6
86,93,183,761,6
87,45,30,330,2
88,103,266,779,6
89,72,189,644,6
90,0,63,331,2
91,32,64,442,2
92,32,64,442,2
93,72,521,1061,1
94,72,91,590,6
95,194,222,967,5
96,72,173,774,6
