ESTILO,CLIENTE,PARES.VENTA,PRONO,FAM.ASIG,COLECC,CORTE,FAM.K,FAM.H
10300,ANDREA,600,600,2,PRVE17,SUAJE,1,1
14076,ANDREA,500,500,2,PRVE17,SUAJE,1,1
14862,ANDREA,0,0,2,PRVE17,SUAJE,1,1
18302,ANDREA,350,350,100,NA,SUAJE,1,1
18314,ANDREA,300,300,100,NA,SUAJE,2,1
18320,ANDREA,350,350,0,NA,SUAJE,1,1
18411,ANDREA,300,300,100,NA,SUAJE,1,1
18311,ANDREA,300,300,100,NA,SUAJE,2,2
10302,ANDREA,200,200,6,PRVE16,SUAJE,2,2
1645,ANDREA,300,300,4,PRVE16,SUAJE,2,2
18300,ANDREA,400,400,100,NA,SUAJE,2,2
18301,ANDREA,500,500,100,NA,SUAJE,2,2
18303,ANDREA,350,350,100,NA,SUAJE,2,2
18298,ANDREA,200,200,100,PRVE17,SUAJE,3,3
8043,ANDREA,200,200,4,OTIN16,SUAJE,3,3
10303,ANDREA,200,200,6,PRVE16,SUAJE,3,3
1525,ANDREA,400,400,5,PRVE16,SUAJE,4,4
18299,ANDREA,250,250,6,NA,SUAJE,5,3
18312,ANDREA,250,250,100,PRVE17,SUAJE,4,4
18318,ANDREA,200,200,100,NA,SUAJE,4,4
8053,ANDREA,600,600,5,OTIN16,SUAJE,5,3
8044,ANDREA,750,750,6,OTIN16,SUAJE,5,6
P5037,CORRAL,45,9,3,OTIN14,FLASH,4,3
P5101,CORRAL,100,21,3,OTIN15,FLASH,4,4
P5107,CORRAL,40,8,3,PRVE16,FLASH,4,4
P5121,CORRAL,100,21,3,PRVE16,FLASH,5,3
P5122,CORRAL,50,11,3,PRVE16,FLASH,5,3
P5020,CORRAL,100,21,3,PRVE14,FLASH,6,4
P5021,CORRAL,50,11,3,PRVE14,FLASH,6,4
P5042,CORRAL,320,67,3,OTIN14,FLASH,6,4
P5100,CORRAL,144,30,3,OTIN14,FLASH,6,5
10554,PERUGIA,1349,563,1,PRVE17,FLASH,1,1
10673,PERUGIA,573,239,1,PRVE17,FLASH,1,1
10693,PERUGIA,180,75,2,PRVE17,FLASH,1,1
11123,PERUGIA,1080,451,1,PRVE17,FLASH,1,1
11131,PERUGIA,248,104,1,PRVE17,FLASH,1,1
11933,PERUGIA,1284,536,4,PRVE17,FLASH,1,1
12161,PERUGIA,48,20,4,NA,FLASH,1,1
12647,PERUGIA,977,408,2,PRVE17,SUAJE,1,1
12841,PERUGIA,1549,647,2,NA,FLASH,1,1
12842,PERUGIA,216,90,2,NA,FLASH,1,1
13584,PERUGIA,217,91,4,PRVE16,FLASH,1,1
50013,PERUGIA,609,254,1,NA,FLASH,1,1
60251,PERUGIA,1381,577,1,PRVE17,FLASH,1,1
60253,PERUGIA,379,158,2,NA,FLASH,1,1
75015,PERUGIA,312,130,2,PRVE16,SUAJE,1,1
75275,PERUGIA,32,13,4,NA,FLASH,1,1
85081,PERUGIA,116,48,4,NA,FLASH,1,1
90081,PERUGIA,1008,421,1,PRVE17,FLASH,1,1
95041,PERUGIA,36,15,1,OTIN16,FLASH,1,1
95161,PERUGIA,260,109,4,PRVE17,FLASH,1,1
40074,PERUGIA,939,392,4,PRVE17,FLASH,3,1
11661,PERUGIA,24,10,5,PRVE16,FLASH,2,2
11973,PERUGIA,255,106,5,PRVE17,FLASH,2,2
12982,PERUGIA,1378,575,5,PRVE17,FLASH,1,2
75277,PERUGIA,144,60,5,NA,FLASH,1,2
10699,PERUGIA,87,36,5,PRVE17,FLASH,2,2
11061,PERUGIA,466,195,5,PRVE17,FLASH,2,2
11077,PERUGIA,965,403,5,PRVE16,FLASH,2,2
11122,PERUGIA,159,66,6,PRVE16,FLASH,3,2
11129,PERUGIA,26,11,4,OTIN16,FLASH,2,2
11932,PERUGIA,908,379,4,PRVE17,FLASH,2,2
11974,PERUGIA,520,217,4,PRVE17,FLASH,2,2
12164,PERUGIA,296,124,4,NA,FLASH,2,2
12981,PERUGIA,216,90,4,PRVE17,FLASH,2,2
12984,PERUGIA,692,289,4,PRVE17,FLASH,2,2
13681,PERUGIA,528,220,4,PRVE17,FLASH,2,2
14574,PERUGIA,298,124,5,PRVE16,FLASH,2,2
40071,PERUGIA,325,136,5,PRVE17,FLASH,3,2
40802,PERUGIA,519,217,5,NA,FLASH,2,2
40803,PERUGIA,396,165,5,NA,FLASH,3,2
50011,PERUGIA,628,262,5,NA,FLASH,3,2
75271,PERUGIA,428,179,5,PRVE16,FLASH,2,2
90075,PERUGIA,416,174,4,OTIN16,FLASH,2,2
90078,PERUGIA,48,20,100,NA,FLASH,2,2
90083,PERUGIA,687,287,5,PRVE17,FLASH,3,2
90084,PERUGIA,157,66,4,PRVE17,FLASH,2,2
90117,PERUGIA,67,28,4,OTIN16,FLASH,2,2
95162,PERUGIA,260,109,5,PRVE17,FLASH,2,2
10551,PERUGIA,42,18,6,PRVE17,FLASH,3,3
10700,PERUGIA,652,272,6,PRVE17,FLASH,5,3
30091,PERUGIA,208,87,5,PRVE17,FLASH,3,3
30245,PERUGIA,712,297,6,PRVE17,FLASH,3,3
80267,PERUGIA,48,20,6,PRVE17,FLASH,5,3
10552,PERUGIA,432,180,6,PRVE17,FLASH,3,3
30092,PERUGIA,306,128,6,PRVE17,FLASH,5,3
30093,PERUGIA,669,279,6,PRVE17,FLASH,3,3
40076,PERUGIA,28,12,4,PRVE16,FLASH,4,4
40801,PERUGIA,947,395,6,NA,FLASH,5,3
80268,PERUGIA,135,56,6,OTIN16,FLASH,6,5
10695,PERUGIA,21,9,0,NA,FLASH,NA,NA
10974,PERUGIA,400,167,0,NA,FLASH,NA,NA
11074,PERUGIA,200,83,0,NA,FLASH,NA,NA
11931,PERUGIA,200,83,100,NA,FLASH,NA,NA
13906,PERUGIA,520,217,100,NA,FLASH,NA,NA
90747,PERUGIA,260,109,0,NA,FLASH,NA,NA
