"ESTILO","PUESTO","SEGUNDOS.POR.PAR"
"1","DOBLILLADOR",56
"1","PESPUNTADOR",443
"1","PRELIMINAR",1097
"2","DOBLILLADOR",44
"2","PESPUNTADOR",150
"2","PRELIMINAR",1027
"3","DOBLILLADOR",96
"3","PESPUNTADOR",285
"3","PRELIMINAR",767
"4","DOBLILLADOR",32
"4","PESPUNTADOR",193
"4","PRELIMINAR",876
"5","PESPUNTADOR",458
"5","PRELIMINAR",1834
"6","DOBLILLADOR",32
"6","PESPUNTADOR",64
"6","PRELIMINAR",442
"7","DOBLILLADOR",60
"7","PESPUNTADOR",175
"7","PRELIMINAR",925
"8","DOBLILLADOR",54
"8","PESPUNTADOR",371
"8","PRELIMINAR",1396
"9","PESPUNTADOR",537
"9","PRELIMINAR",679
"10","PESPUNTADOR",336
"10","PRELIMINAR",1141
"11","DOBLILLADOR",162
"11","PESPUNTADOR",295
"11","PRELIMINAR",1011
"12","PESPUNTADOR",366
"12","PRELIMINAR",1323
"13","PESPUNTADOR",126
"13","PRELIMINAR",528
"14","DOBLILLADOR",32
"14","PESPUNTADOR",64
"14","PRELIMINAR",442
"15","DOBLILLADOR",32
"15","PESPUNTADOR",64
"15","PRELIMINAR",442
"16","DOBLILLADOR",32
"16","PESPUNTADOR",114
"16","PRELIMINAR",438
"17","DOBLILLADOR",30
"17","PESPUNTADOR",229
"17","PRELIMINAR",958
"18","DOBLILLADOR",90
"18","PESPUNTADOR",202
"18","PRELIMINAR",890
"19","DOBLILLADOR",66
"19","PESPUNTADOR",278
"19","PRELIMINAR",1224
"20","DOBLILLADOR",77
"20","PESPUNTADOR",147
"20","PRELIMINAR",549
"21","DOBLILLADOR",66
"21","PESPUNTADOR",234
"21","PRELIMINAR",833
"22","DOBLILLADOR",36
"22","PESPUNTADOR",222
"22","PRELIMINAR",814
"23","DOBLILLADOR",119
"23","PESPUNTADOR",200
"23","PRELIMINAR",1025
"24","DOBLILLADOR",32
"24","PESPUNTADOR",307
"24","PRELIMINAR",1012
"25","PESPUNTADOR",126
"25","PRELIMINAR",528
"26","DOBLILLADOR",97
"26","PESPUNTADOR",182
"26","PRELIMINAR",908
"27","PESPUNTADOR",77
"27","PRELIMINAR",456
"28","DOBLILLADOR",32
"28","PESPUNTADOR",64
"28","PRELIMINAR",442
"29","DOBLILLADOR",107
"29","PESPUNTADOR",188
"29","PRELIMINAR",659
"30","DOBLILLADOR",66
"30","PESPUNTADOR",185
"30","PRELIMINAR",875
"31","DOBLILLADOR",66
"31","PESPUNTADOR",211
"31","PRELIMINAR",752
"32","PESPUNTADOR",198
"32","PRELIMINAR",506
"33","DOBLILLADOR",90
"33","PESPUNTADOR",105
"33","PRELIMINAR",893
"34","DOBLILLADOR",36
"34","PESPUNTADOR",222
"34","PRELIMINAR",814
"35","DOBLILLADOR",32
"35","PESPUNTADOR",128
"35","PRELIMINAR",474
"36","DOBLILLADOR",43
"36","PESPUNTADOR",161
"36","PRELIMINAR",800
"37","DOBLILLADOR",30
"37","PESPUNTADOR",134
"37","PRELIMINAR",930
"38","DOBLILLADOR",69
"38","PESPUNTADOR",178
"38","PRELIMINAR",722
"39","DOBLILLADOR",106
"39","PESPUNTADOR",169
"39","PRELIMINAR",823
"40","DOBLILLADOR",53
"40","PESPUNTADOR",130
"40","PRELIMINAR",598
"41","DOBLILLADOR",54
"41","PESPUNTADOR",262
"41","PRELIMINAR",1166
"42","DOBLILLADOR",113
"42","PESPUNTADOR",166
"42","PRELIMINAR",674
"43","DOBLILLADOR",72
"43","PESPUNTADOR",90
"43","PRELIMINAR",559
"44","DOBLILLADOR",54
"44","PESPUNTADOR",422
"44","PRELIMINAR",1046
"45","DOBLILLADOR",90
"45","PESPUNTADOR",113
"45","PRELIMINAR",721
"46","DOBLILLADOR",72
"46","PESPUNTADOR",171
"46","PRELIMINAR",564
"47","PESPUNTADOR",283
"47","PRELIMINAR",769
"48","DOBLILLADOR",39
"48","PESPUNTADOR",180
"48","PRELIMINAR",263
"49","DOBLILLADOR",90
"49","PESPUNTADOR",297
"49","PRELIMINAR",1106
"50","DOBLILLADOR",88
"50","PESPUNTADOR",473
"50","PRELIMINAR",734
"51","DOBLILLADOR",46
"51","PESPUNTADOR",90
"51","PRELIMINAR",482
"52","DOBLILLADOR",91
"52","PESPUNTADOR",189
"52","PRELIMINAR",799
"53","DOBLILLADOR",32
"53","PESPUNTADOR",96
"53","PRELIMINAR",442
"54","DOBLILLADOR",72
"54","PESPUNTADOR",251
"54","PRELIMINAR",702
"55","PESPUNTADOR",242
"55","PRELIMINAR",867
"56","PESPUNTADOR",341
"56","PRELIMINAR",1286
"57","PESPUNTADOR",540
"57","PRELIMINAR",951
"58","PESPUNTADOR",262
"58","PRELIMINAR",969
"59","PESPUNTADOR",303
"59","PRELIMINAR",684
"60","DOBLILLADOR",87
"60","PESPUNTADOR",359
"60","PRELIMINAR",962
"61","PESPUNTADOR",882
"61","PRELIMINAR",1621
"62","PESPUNTADOR",306
"62","PRELIMINAR",841
"63","PESPUNTADOR",256
"63","PRELIMINAR",1010
"64","PESPUNTADOR",136
"64","PRELIMINAR",671
"65","DOBLILLADOR",57
"65","PESPUNTADOR",268
"65","PRELIMINAR",899
"66","DOBLILLADOR",107
"66","PESPUNTADOR",464
"66","PRELIMINAR",1310
"67","DOBLILLADOR",72
"67","PESPUNTADOR",318
"67","PRELIMINAR",1023
"68","PESPUNTADOR",466
"68","PRELIMINAR",552
"69","DOBLILLADOR",182
"69","PESPUNTADOR",397
"69","PRELIMINAR",946
"70","PESPUNTADOR",668
"70","PRELIMINAR",746
"71","DOBLILLADOR",45
"71","PESPUNTADOR",306
"71","PRELIMINAR",625
"72","DOBLILLADOR",79
"72","PESPUNTADOR",317
"72","PRELIMINAR",624
"73","DOBLILLADOR",54
"73","PESPUNTADOR",430
"73","PRELIMINAR",921
"74","DOBLILLADOR",112
"74","PESPUNTADOR",233
"74","PRELIMINAR",552
"75","DOBLILLADOR",96
"75","PESPUNTADOR",447
"75","PRELIMINAR",1112
"76","DOBLILLADOR",99
"76","PESPUNTADOR",175
"76","PRELIMINAR",763
"77","PESPUNTADOR",169
"77","PRELIMINAR",378
"78","DOBLILLADOR",32
"78","PESPUNTADOR",64
"78","PRELIMINAR",442
"79","DOBLILLADOR",32
"79","PESPUNTADOR",82
"79","PRELIMINAR",464
"80","DOBLILLADOR",45
"80","PESPUNTADOR",72
"80","PRELIMINAR",568
"81","DOBLILLADOR",98
"81","PESPUNTADOR",165
"81","PRELIMINAR",858
"82","DOBLILLADOR",107
"82","PESPUNTADOR",317
"82","PRELIMINAR",1427
"83","DOBLILLADOR",32
"83","PESPUNTADOR",64
"83","PRELIMINAR",416
"84","DOBLILLADOR",144
"84","PESPUNTADOR",325
"84","PRELIMINAR",948
"85","DOBLILLADOR",46
"85","PESPUNTADOR",169
"85","PRELIMINAR",722
"86","DOBLILLADOR",93
"86","PESPUNTADOR",183
"86","PRELIMINAR",761
"87","DOBLILLADOR",45
"87","PESPUNTADOR",30
"87","PRELIMINAR",330
"88","DOBLILLADOR",103
"88","PESPUNTADOR",266
"88","PRELIMINAR",779
"89","DOBLILLADOR",72
"89","PESPUNTADOR",189
"89","PRELIMINAR",644
"90","PESPUNTADOR",63
"90","PRELIMINAR",331
"91","DOBLILLADOR",32
"91","PESPUNTADOR",64
"91","PRELIMINAR",442
"92","DOBLILLADOR",32
"92","PESPUNTADOR",64
"92","PRELIMINAR",442
"93","DOBLILLADOR",72
"93","PESPUNTADOR",521
"93","PRELIMINAR",1061
"94","DOBLILLADOR",72
"94","PESPUNTADOR",91
"94","PRELIMINAR",590
"95","DOBLILLADOR",194
"95","PESPUNTADOR",222
"95","PRELIMINAR",967
"96","DOBLILLADOR",72
"96","PESPUNTADOR",173
"96","PRELIMINAR",774
